id,canonical_name,synonyms
gx-051_vaccine,GX-051 vaccine,"['GX 051', 'GX-051', 'GX-51', 'IL-12-expressing mesenchymal stem cell vaccine GX-051', 'MSCs/IL-12M', 'GX-051 vaccine']"
navitoclax,Navitoclax,"['A-855071.0', 'ABT-263', 'BcI-2 family protein inhibitor ABT-263', 'Navitoclax']"
pf-07284890,PF-07284890,['PF-07284890']
apatinib,Apatinib,"['YN968D1', 'Rivoceranib', 'Apatinib mesylate', 'Aitan', 'ATAN', 'Apatinib']"
car-t-colon-_anti-fap-comma-_ii_generation_-lpar-cd3ze--etc4awdg,"CAR-T: Anti-FAP, II generation (CD3zeta_CD28)","['CAR-T: Anti-FAP, II generation (CD3zeta_CD28)']"
auto1,AUTO1,['AUTO1']
warfarin,Warfarin,"['Marevan', 'Waran', 'Warfilone', 'Tintorane', 'Prothromadin', 'Coumadin', 'Warfarin sodium', 'Panwarfin', 'Warfarin']"
xl888,XL888,['XL888']
tislelizumab,Tislelizumab,"['BGB-A317', 'Tislelizumab']"
rf-tricom,rF-TRICOM,"['B7.1.iCAM1-LFA3-Fowlpox', 'recombinant fowlpox-TRICOM vaccine', 'rF-TRICOM']"
prasterone,Prasterone,"['Dehydroisoandrosterone', 'DHEA', 'Intrarosa', 'GL701', 'Fidelin', 'Prasterone']"
ccs-1477,CCS-1477,"['CCS1477', 'p300/CBP bromodomain inhibitor CCS1477', 'CCS 1477', 'CCS-1477']"
barasertib_nanoparticles_encapsulated,Barasertib nanoparticles encapsulated,"['Barasertib-hQPA', 'AZD1152-hQPA', 'AZD2811', 'Barasertib nanoparticles encapsulated']"
mage-12_peptide_vaccine,MAGE-12 peptide vaccine,['MAGE-12 peptide vaccine']
gnx102,GNX102,['GNX102']
fn-1501,FN-1501,"['FN 1501', 'FN1501', 'FN-1501']"
pf-06936308,PF-06936308,"['PF 06936308', 'PF06936308', 'PF-06936308']"
autologous_ofa-ilrp_rna-transfected_dendritic_cell_vaccine,autologous OFA-iLRP RNA-transfected dendritic cell vaccine,"['oncofetal antigen-immature laminin receptor protein-loaded autologous dendritic cell vaccine', 'autologous OFA-iLRP RNA-transfected dendritic cell vaccine']"
mva_brachyury-tricom,MVA brachyury-TRICOM,"['MVA-BN-brachyury', 'MVA-BN-Brachyury Prime Vaccine', 'MVA-BN Brachyury', 'brachyury-expressing modified vaccinia Ankara-TRICOM vaccine', 'MVA brachyury-TRICOM']"
daratumumab,Daratumumab,"['HuMax CD38', 'Darzalex', 'JNJ-54767414', 'Daratumumab']"
ny-eso-1-slash-mart-1_peptide-pulsed_dc_vaccine,NY-ESO-1/MART-1 peptide-pulsed DC vaccine,"['NY-ESO-1/MART-1 peptide-pulsed dendritic cell vaccine', 'NY-ESO-1/MART-1 peptide-pulsed DC vaccine']"
imo-2125,Tilsotolimod,"['IMO-2125', 'Tilsotolimod']"
neoag-mbraf,NeoAg-mBRAF,['NeoAg-mBRAF']
isa101-slash-isa101b,ISA101/ISA101b,"['HPV Type 16 E6/E7 Synthetic Long Peptides Vaccine', 'ISA101/ISA101b']"
aee788,AEE788,['AEE788']
amrubicin,Amrubicin,"['amrubicin hydrochloride', 'AMR', 'Amirubicin Hydrochloride', 'Calsed', 'Amrubicin']"
ino-1401,INO-1401,"['SynCon TERT', 'INO-1401']"
sulfasalazine,Sulfasalazine,"['Salazosulfapyridine', 'alazosulfapyridine', 'Azulfidine', 'Sulfasalazine']"
agen2034,AGEN2034,['AGEN2034']
xmab23104,XmAb23104,"['xmab®23104', 'XmAb 23104', 'XmAb-23104', 'XmAb23104']"
pf-06263507,PF-06263507,"['A1-mcMMAF', 'PF 06263507', 'PF06263507', 'A1-mafodotin', 'PF-06263507']"
muc1_peptide-poly-iclc_vaccine,MUC1 Peptide-Poly-ICLC Vaccine,['MUC1 Peptide-Poly-ICLC Vaccine']
ivac_warehouse,IVAC WAREHOUSE,"['IVAC_W_bre1_uID', 'IVAC WAREHOUSE']"
pegfilgrastim,Pegfilgrastim,"['Pegylated nartograstim', 'Ro 25-8315', 'RO 258315', 'PEG-G-CSF', 'PEG-rHuG-CSF', 'LA-EP2006', 'PEG nartograstim', 'Pegylated G-CSF', 'Ziextenzo', 'Neulasta', 'PEG-rHG-CSF', 'Pegfilgrastim']"
fr-180204,FR-180204,['FR-180204']
polypepi1018_vaccine,PolyPEPI1018 vaccine,['PolyPEPI1018 vaccine']
irofulven,Irofulven,"['6-hydroxymethylacylfulvene', 'MGI-114', 'MGI 114', 'HMAF', 'hydroxymethylacylfulvene', 'Irofulven']"
mv-nis,MV-NIS,"['oncolytic measles virus encoding thyroidal sodium iodide symporter', 'MV-NIS']"
hare-40,HARE-40,"['HPV Anti-CD40 RNA Vaccine', 'HARE-40']"
rs-0139,RS-0139,['RS-0139']
laq824,LAQ824,"['Dacinostat', 'NVP-LAQ824', 'LAQ824']"
car-t-colon-_anti-vegfr2-comma-_ii_generation,"CAR-T: Anti-VEGFR2, II generation","['CAR-T: Anti-VEGFR2, II generation']"
as601245,AS601245,['AS601245']
ex-527,EX-527,['EX-527']
captopril,Captopril,"['CPT', 'Capoten', 'Captopril']"
bms-986156,BMS-986156,"['MS-986156', 'BMS 986156', 'BMS-986156']"
ly3295668_erbumine,LY3295668 erbumine,"['AK 01', 'AK-01', 'LY3295668 erbumine']"
su5402,SU5402,['SU5402']
dher2,dHER2,"['dHER2 ASCI', 'Immunotherapeutic SB719125 (Primary)', 'dHER2+AS15', 'dHER2+AS15 antigen-specific cancer immunotherapeutic dHER2+AS15 ASCI', 'dHER2']"
alvac-cea,ALVAC-CEA,"['CEA-Avipox vaccine', 'ALVAC-CEA vaccine', 'ALVAC-CEA']"
defactinib,Defactinib,"['PF-04554878', 'Defactinib Hydrochloride', 'VS-6063', 'Defactinib']"
s-588210,S-588210,"['S-488210/S-488211', 'S-588210']"
peginterferon_beta-1a,Peginterferon beta-1a,"['Plegridy', 'BIIB017', 'Peginterferon beta-1a']"
amg_160,AMG 160,"['AMG160', 'AMG-160', 'AMG 160']"
mbg453,MBG453,['MBG453']
procarbazine,Procarbazine,"['Procarbazine Hydrochloride', 'Matulane', 'Procarbazine']"
