TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids
,1,therapy,FALSE,27,FALSE,TRUE,"{'NCT04001101', 'NCT04006561', 'NCT04023669', 'NCT03992170', 'NCT03983759', 'NCT04015336', 'NCT04023292', 'NCT04019964', 'NCT03995147', 'NCT04004234', 'NCT04006522', 'NCT04025372', 'NCT04012619', 'NCT04001569', 'NCT03983811', 'NCT03977610', 'NCT04008706', 'NCT03994393', 'NCT04015778', 'NCT03998085', 'NCT04017819', 'NCT03996473', 'NCT03977571', 'NCT03989310', 'NCT04011059', 'NCT04020172', 'NCT04009109'}"
,1,radiation therapy,FALSE,16,FALSE,TRUE,"{'NCT03999710', 'NCT04001725', 'NCT04017377', 'NCT04001101', 'NCT04019262', 'NCT04021108', 'NCT03997643', 'NCT04015336', 'NCT03977311', 'NCT04025372', 'NCT04015661', 'NCT04013542', 'NCT03987087', 'NCT04022018', 'NCT04009044', 'NCT03975231'}"
,1,chemoradiotherapy,FALSE,13,FALSE,TRUE,"{'NCT03993249', 'NCT04009876', 'NCT04009265', 'NCT04006041', 'NCT03990532', 'NCT03984578', 'NCT04015661', 'NCT03985046', 'NCT04026412', 'NCT04005170', 'NCT03991104', 'NCT03997435', 'NCT03973008'}"
,1,placebo,FALSE,12,FALSE,FALSE,"{'NCT03990974', 'NCT03976362', 'NCT04003142', 'NCT04003389', 'NCT04025879', 'NCT03988231', 'NCT03980054', 'NCT04003155', 'NCT04003636', 'NCT03975647', 'NCT03985046', 'NCT04005716'}"
1,,toripalimab,FALSE,7,TRUE,FALSE,"{'NCT03982680', 'NCT04010071', 'NCT04006041', 'NCT04005170', 'NCT04025931', 'NCT03992911', 'NCT04012606'}"
,1,platinum,FALSE,6,FALSE,FALSE,"{'NCT03976375', 'NCT04016389', 'NCT03992885', 'NCT03980925', 'NCT03976323', 'NCT04012606'}"
,1,monotherapy,FALSE,6,FALSE,TRUE,"{'NCT04024696', 'NCT04023071', 'NCT04025931', 'NCT04008030', 'NCT04004910', 'NCT04009681'}"
,1,combination therapy,FALSE,6,FALSE,TRUE,"{'NCT04001569', 'NCT03982173', 'NCT03994744', 'NCT03992885', 'NCT04025931', 'NCT04009681'}"
,1,pd,FALSE,5,FALSE,FALSE,"{'NCT04026841', 'NCT03993626', 'NCT04014101', 'NCT04015778', 'NCT04016116'}"
,1,autologous,TRUE,5,FALSE,FALSE,"{'NCT04021992', 'NCT04015778', 'NCT03990493', 'NCT04011033', 'NCT04020575'}"
,1,inhibitors,FALSE,5,FALSE,FALSE,"{'NCT04025424', 'NCT03988114', 'NCT03983811', 'NCT04025931', 'NCT03982992'}"
,1,evaluate,FALSE,5,FALSE,FALSE,"{'NCT03989336', 'NCT04021082', 'NCT04003623', 'NCT03976882', 'NCT03991559'}"
,1,rp2d,FALSE,5,FALSE,FALSE,"{'NCT04006301', 'NCT04024696', 'NCT03989414', 'NCT04023669', 'NCT04017130'}"
,1,pd-l1,FALSE,4,FALSE,FALSE,"{'NCT03996408', 'NCT03991559', 'NCT03991975', 'NCT04002622'}"
,1,neoadjuvant treatment,FALSE,4,FALSE,FALSE,"{'NCT03994107', 'NCT04010552', 'NCT04017455', 'NCT03985891'}"
,1,standard,TRUE,4,FALSE,FALSE,"{'NCT04016116', 'NCT04006821', 'NCT04015336', 'NCT04025372'}"
,1,stem cell transplantation,FALSE,4,FALSE,FALSE,"{'NCT04000698', 'NCT04021992', 'NCT04008888', 'NCT04002297'}"
,1,allogeneic,TRUE,4,FALSE,FALSE,"{'NCT03977103', 'NCT03982992', 'NCT04000698', 'NCT04008888'}"
1,0,tqb2450,FALSE,4,FALSE,FALSE,"{'NCT03996408', 'NCT03991975', 'NCT03983928', 'NCT04002622'}"
,1,pk,FALSE,4,FALSE,FALSE,"{'NCT03989115', 'NCT03992131', 'NCT03990454', 'NCT03997968'}"
,1,determine,FALSE,3,FALSE,FALSE,"{'NCT04017819', 'NCT04001101', 'NCT03989414'}"
,1,neoadjuvant therapy,FALSE,3,FALSE,TRUE,"{'NCT03994107', 'NCT03985670', 'NCT04018872'}"
,1,allogeneic,FALSE,3,FALSE,FALSE,"{'NCT04013685', 'NCT03977103', 'NCT03982992'}"
,1,pd-1,FALSE,3,FALSE,FALSE,"{'NCT04006821', 'NCT03987698', 'NCT03993626'}"
,1,standard therapy,FALSE,3,FALSE,TRUE,"{'NCT03992456', 'NCT03983850', 'NCT04023292'}"
1,"
",fezolinetant,FALSE,3,FALSE,FALSE,"{'NCT04003142', 'NCT04003389', 'NCT04003155'}"
1,"
",fezolinetant,FALSE,3,FALSE,FALSE,"{'NCT04003142', 'NCT04003389', 'NCT04003155'}"
,1,targeted,FALSE,3,FALSE,FALSE,"{'NCT03999697', 'NCT03993743', 'NCT04008394'}"
,1,neoadjuvant,TRUE,3,FALSE,FALSE,"{'NCT03985670', 'NCT04017455', 'NCT04007588'}"
