TP,Add_to_black_list,FP,Search_problem,candidate,ADJ,count_nct,is_mab,is_therapy,sentence,sents,_ids,link_to_ct_gov
,1,,,68ga-psma,FALSE,4,FALSE,FALSE,The purpose of the study is to find out whether imaging of the prostate with a new molecule called 68Ga-PSMA can find prostate cancer.,"{'The purpose of the study is to find out whether imaging of the prostate with a new molecule called 68Ga-PSMA can find prostate cancer.', '68GA-PSMA FUSION PET/MRI FOR IMAGE-GUIDED PROSTATE BIOPSIES.', 'This study is performed to test 68Ga-PSMA whether it can be used to find prostate cancers that would be considered in need for treatment', '68Ga-PSMA has been shown in a large number of patients to be useful to find recurring prostate cancer following initial cancer treatment.', '68Ga-NeoBOMB1 and 68Ga-PSMA R2 PET/MRI in the Evaluation of Patients With Biochemical Recurrence of Prostate Cancer.', 'All patients will undergo 68Ga-PSMA PET/CT scans before and after the treatment', 'This phase II trial studies how well a positron emission tomography (PET)/computed tomography (CT) scan using fluciclovine F18 compared with a PET/CT scan with 68Ga-PSMA works in planning radiation treatments and enhancing outcomes in patients with prostate adenocarcinoma.', 'It is not yet known whether giving fluciclovine F18 or 68Ga-PSMA may work better in planning radiation treatments and enhancing outcomes in patients with prostate adenocarcinoma', 'Fluciclovine F18 and 68Ga-PSMA are types of tracers, called radiotracers, that are injected and can accumulate in tumor cells to develop images of them during a PET/CT scan.'}","{'NCT03780075', 'NCT03762759', 'NCT03698370', 'NCT03689582'}","{'NCT03780075', 'NCT03762759', 'NCT03698370', 'NCT03689582'}"
1,,,"ZKAB001
",zkab001,FALSE,3,FALSE,FALSE,"This is a Phase 1+2, open-label, dose-escalation, and multidose study, aiming to investigate the safety, tolerability and pharmacokinetics of ZKAB001 (a fully human monoclonal antibody targeting the Programmed Death - Ligand 1 (PD-L1) membrane receptor on T lymphocytes and other cells of the immune system) administered every 14 days in subjects with locally advanced and metastatic urothelial carcinoma","{'This is a Phase 1+2, open-label, dose-escalation, and multidose study, aiming to investigate the safety, tolerability and pharmacokinetics of ZKAB001 (a fully human monoclonal antibody targeting the Programmed Death - Ligand 1 (PD-L1) membrane receptor on T lymphocytes and other cells of the immune system) administered every 14 days in subjects with locally advanced and metastatic urothelial carcinoma', 'This is a Phase 1+2, open-label, dose-escalation, and multidose study, aiming to investigate the safety, tolerability and pharmacokinetics of ZKAB001 (a fully human monoclonal antibody targeting the Programmed Death - Ligand 1 (PD-L1) membrane receptor on T lymphocytes and other cells of the immune system) administered every 14 days in subjects with limited stage of high-grade osteosarcoma of maintenance therapy after adjuvant chemotherapy', 'This is a Phase 1, open-label, dose-escalation, and multidose study, aiming to investigate the safety, tolerability and pharmacokinetics(PK) of ZKAB001 (a fully human monoclonal antibody targeting the Programmed Death - Ligand 1 (PD-L1) membrane receptor on T lymphocytes and other cells of the immune system) administered every 14 days in subjects with recurrent or metastatic cervical cancer'}","{'NCT03676946', 'NCT03676985', 'NCT03676959'}",NCT03676946
,1,,,posaconazole,FALSE,3,FALSE,FALSE,"Among its authorized indications, posaconazole (PCZ) is prescribed for prophylaxis in onco-hematology patients at high risk of invasive fungal infections.","{'Among its authorized indications, posaconazole (PCZ) is prescribed for prophylaxis in onco-hematology patients at high risk of invasive fungal infections.', 'Pharmacokinetics Variability of Posaconazole (PCZ) and Its Glucuronide Metabolite During Induction and Consolidation Treatments in Patients With Acute Myeloid Leukemia (AML): a Covariate Analysis With the Tablets Formulation and Evaluation of the Potential Risk of Hepatotoxicity.', 'We would like to translate these preclinical findings into the clinical setting by implementing a proof-of biological concept study with two azole drugs: ketoconazole (KCZ) and posaconazole (PCZ).', 'Pharmacokinetics Study of Posaconazole in Haematology Patients Receiving Standard of Care Treatment With Oral Posaconazole Prophylaxis for Invasive Fungal Infection.', 'A Phase 0 Clinical Trial of Two Candidate Azoles (Ketoconazole and Posaconazole) for Patients With Recurrent High Grade Glioma.', 'The purpose of the study is to investigate the pharmacokinetics of oral dosage of Posaconazole which is routinely administered as a standard care prophylaxis for patients undergoing cancer treatments'}","{'NCT03796533', 'NCT03763396', 'NCT03717623'}",NCT03796533
1,,,,bacillus calmette-guérin,FALSE,3,FALSE,FALSE,"For high grade NMIBC, i.e. TaG3, T1G3 and CIS, intravesical bacillus Calmette-Guérin (BCG) immunotherapy is the treatment of choice, given that it prevents recurrence and reduces the odds of progression to MIBC.","{'For high grade NMIBC, i.e. TaG3, T1G3 and CIS, intravesical bacillus Calmette-Guérin (BCG) immunotherapy is the treatment of choice, given that it prevents recurrence and reduces the odds of progression to MIBC.', 'Intravesical Instillation Therapy With Bacillus Calmette-Guérin (BCG) and Sequential BCG and Electromotive Mitomycin-C (EMDA-MCC) in Patients With High-risk Non-muscle-invasive Bladder Carcinoma.', 'The Effects of Sequential Mitomycin and Bacillus Calmette-Guérin Treatment Versus Bacillus Calmette-Guérin Monotherapy in Patients With High Risk Non-Muscle Invasive Bladder Cancer.', 'After resection of the tumour(s), patients will receive either traditional regimen of Bacillus Calmette-Guérin (BCG) instillations or combination treatment consisting of sequential BCG-instillations and mitomycin C instillations administered with electromotive drug administration (EMDA) device'}","{'NCT03790384', 'NCT03759496', 'NCT03664869'}",NCT03790384
1,,,,dopamine,FALSE,2,FALSE,FALSE,The Predictive Value of Positron Emission Tomography-Magnetic Resonance (PET-MR) Mediated Dopamine D2 Receptors Imaging in the Drug Therapy of of Prolactinomas.,"{'The Predictive Value of Positron Emission Tomography-Magnetic Resonance (PET-MR) Mediated Dopamine D2 Receptors Imaging in the Drug Therapy of of Prolactinomas.', 'To study the in vivo expression of dopamine D2 receptors in prolactinoma and the predictive role of dopamine D2 receptors PET-MR imaging in the therapeutic effect of dopamine agonists', 'To study the in vivo expression of dopamine D2 receptors in nonfunctioning pituitary adenoma and the predictive role of dopamine dopamine D2 receptors PET-MR imaging in the therapeutic effect of dopamine agonists（DA）', 'The Predictive Value of Positron Emission Tomography-Magnetic Resonance (PET-MR) Mediated Dopamine D2 Receptors Imaging in the Drug Therapy of Nonfunctioning Pituitary Adenoma.'}","{'NCT03714763', 'NCT03717454'}",NCT03714763
,,1,,ai,FALSE,2,FALSE,FALSE,"The project objectives are the analysis of the AI deleterious effect on bone microarchitecture and early determination of the risk of fragility fracture with dual energy x-ray absorptiometry (DEXA), lumbar spine Rx, Trabecular Bone Score (TBS) and microindentation.","{'The project objectives are the analysis of the AI deleterious effect on bone microarchitecture and early determination of the risk of fragility fracture with dual energy x-ray absorptiometry (DEXA), lumbar spine Rx, Trabecular Bone Score (TBS) and microindentation.', 'The main objective of the study is to improve the life quality of women treated with AI.', 'Cohort B-ABLE is designed to evaluate musculoskeletal events derived of using AI in breast cancer women.', 'Determination of physiological causes of the AI-related arthralgia by analyzing joint degradation markers, steroid hormone levels remaining in blood and functional magnetic resonance, before and after three months of AI treatment', 'This is an open label, randomized, multicenter study evaluating the activity of lasofoxifene relative to fulvestrant for the treatment of pre- and postmenopausal women with locally advanced or metastatic ER+/HER2− breast cancer with an acquired ESR1 mutation and who have disease progression on an aromatase inhibitor (AI) in combination with a cyclin dependent kinase (CDK) 4/6 inhibitor.'}","{'NCT03811509', 'NCT03781063'}",NCT03811509
1,,,,herzuma®,FALSE,2,FALSE,FALSE,Phase II Study of Trastuzumab Biosimilar (Herzuma®),"{'Phase II Study of Trastuzumab Biosimilar (Herzuma®)', 'In this study, the investigators plan multicenter phase II clinical trial to test the efficacy, safety and immunogenicity of trastuzumab biosimilar, Herzuma® in combination with TPC in patients with HER2+ metastatic breast cancer who progressed after 2 or more HER-2 directed chemotherapy', 'This study is a multicenter, prospective, single-arm, phase II study to evaluate the antitumor activity and safety of trastuzumab biosimilar (herzuma®) plus gedatolisib in patients with HER-2 positive MBC who progressed after 2 or more HER-2 directed chemotherapy', ""Open Label, Multicenter, Prospective Phase II Study to Investigate the Efficacy and Safety of Trastuzumab Biosimilar (Herzuma®) Plus Treatment of Physician's Choice (TPC) in Patients With HER-2 Positive Metastatic Breast Cancer Who Progressed After 2 or More HER-2 Directed Chemotherapy.""}","{'NCT03755141', 'NCT03698383'}",NCT03755141
1,,,,chlorogenic acid,FALSE,2,FALSE,FALSE,"This Ib / IIa clinical trial program focuses on the small cell lung cancer (SCLC), Squamous non-small cell lung cancer (NSCLC) and adeniform NSCLC in order to start a better development on the broad-spectrum value of chlorogenic acid： Determine the Disease control rate（DCR）of phase Ib/IIa of Chlorogenic acid for injection in the advanced Lung Cancer Patients","{'This Ib / IIa clinical trial program focuses on the small cell lung cancer (SCLC), Squamous non-small cell lung cancer (NSCLC) and adeniform NSCLC in order to start a better development on the broad-spectrum value of chlorogenic acid： Determine the Disease control rate（DCR）of phase Ib/IIa of Chlorogenic acid for injection in the advanced Lung Cancer Patients', 'A Single Arm, Open-label, Multicenter, Phase Ib/IIa Studies of Chlorogenic Acid for Injection for Safety and Efficacy of Advanced Lung Cancer Patients.', 'The purpose of phase II/III study: Determining the Overall Survival（OS）of Chlorogenic acid for injection comparing to in the advanced Glioblastoma Patients through study completion（an average of 18 months）after the first dose of chlorogenic acid for injection and Lomustine', 'A Randomized, Control, Open-label, Multicenter, Phase II/III Studies of Chlorogenic Acid for Injection for Safety and Efficacy of Grade IV GBM Patients.'}","{'NCT03758014', 'NCT03751592'}",NCT03758014
1,,,,shr-1701,FALSE,2,FALSE,FALSE,"A Phase I, Open-label Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological and Clinical Activity of SHR-1701 in Subjects With Metastatic or Locally Advanced Solid Tumors and Expansion to Selected Indications.","{'A Phase I, Open-label Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological and Clinical Activity of SHR-1701 in Subjects With Metastatic or Locally Advanced Solid Tumors and Expansion to Selected Indications.', 'A Phase I, Open-label Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological and Clinical Activity of SHR-1701 in Subjects With Metastatic or Locally Advanced Solid Tumors With Expansion to Selected Indications.', 'The main purpose of this study is to assess the safety and tolerability of SHR-1701 at different dose levels.', 'The main purpose of this Phase I study is to access the safety and tolerability of SHR-1701 at different dose levels.'}","{'NCT03710265', 'NCT03774979'}",NCT03710265
,1,,,anlotinib（12mg，po,FALSE,2,FALSE,FALSE,"In the phase Ⅲ study, patients who failed at least two kinds of systemic chemotherapy (third line or beyond) or drug intolerance were treated with anlotinib（12mg，po.","{'In the phase Ⅲ study, patients who failed at least two kinds of systemic chemotherapy (third line or beyond) or drug intolerance were treated with anlotinib（12mg，po.'}","{'NCT03726736', 'NCT03728374'}",NCT03726736
