TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids,link_to_ct_gov
,1,transplant,FALSE,2,FALSE,FALSE,"{'NCT04083170', 'NCT04083183'}",NCT04083170
1,,obi-999,FALSE,1,FALSE,FALSE,{'NCT04084366'},NCT04084366
,1,prmt,FALSE,1,FALSE,FALSE,{'NCT04089449'},NCT04089449
1,,prt811,FALSE,1,FALSE,FALSE,{'NCT04089449'},NCT04089449
,1,arginine n-methyltransferase,FALSE,1,FALSE,FALSE,{'NCT04089449'},NCT04089449
,1,5 inhibitor,FALSE,1,FALSE,FALSE,{'NCT04089449'},NCT04089449
,1,chemoradiation therapy,FALSE,1,FALSE,TRUE,{'NCT04085250'},NCT04085250
1,,jwcar029,FALSE,1,FALSE,FALSE,{'NCT04089215'},NCT04089215
1,,gen1042,FALSE,1,FALSE,FALSE,{'NCT04083599'},NCT04083599
1,,dcvac,FALSE,1,FALSE,FALSE,{'NCT04085159'},NCT04085159
,1,immune modified,FALSE,1,FALSE,FALSE,{'NCT04085159'},NCT04085159
,1,) t,FALSE,1,FALSE,FALSE,{'NCT04088890'},NCT04088890
1,,cc-95775,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,labcc,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,1b,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,cc-95775-st-001,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
1,,lu-177-dotatate,FALSE,1,FALSE,FALSE,{'NCT04086485'},NCT04086485
1,,somatostatin,FALSE,1,FALSE,FALSE,{'NCT04086485'},NCT04086485
,1,carbon ion,FALSE,1,FALSE,FALSE,{'NCT04082455'},NCT04082455
1,,atlcar.cd30,FALSE,1,FALSE,FALSE,{'NCT04083495'},NCT04083495
1,,ibi110,FALSE,1,FALSE,FALSE,{'NCT04085185'},NCT04085185
1,,igm-2323,FALSE,1,FALSE,FALSE,{'NCT04082936'},NCT04082936
,1,-b10,FALSE,1,FALSE,FALSE,{'NCT04083183'},NCT04083183
,1,combination,FALSE,1,FALSE,FALSE,{'NCT04088500'},NCT04088500
,1,aromatase inhibitors,FALSE,1,FALSE,FALSE,{'NCT04088110'},NCT04088110
,1,antigen radioligand therapy,FALSE,1,FALSE,TRUE,{'NCT04085991'},NCT04085991
1,,131i-psma-1095 radioligand therapy,FALSE,1,FALSE,TRUE,{'NCT04085991'},NCT04085991
,1,opioids,FALSE,1,FALSE,FALSE,{'NCT04085237'},NCT04085237
,1,laparoscopic,TRUE,1,FALSE,FALSE,{'NCT04085237'},NCT04085237
1,,indocyanine,FALSE,1,FALSE,FALSE,{'NCT04084067'},NCT04084067
1,,methylnaltrexone bromide,FALSE,1,FALSE,FALSE,{'NCT04083651'},NCT04083651
,1,cancer therapy,FALSE,1,FALSE,TRUE,{'NCT04083235'},NCT04083235
,,astatine-211,FALSE,1,FALSE,FALSE,{'NCT04083183'},NCT04083183
,1,cell transplant,FALSE,1,FALSE,FALSE,{'NCT04083183'},NCT04083183
1,,ccr5δ32,FALSE,1,FALSE,FALSE,{'NCT04083170'},NCT04083170
,1,radiation,FALSE,1,FALSE,FALSE,{'NCT04082520'},NCT04082520
1,,img-7289,FALSE,1,FALSE,FALSE,{'NCT04081220'},NCT04081220
1,,xl184,FALSE,1,FALSE,FALSE,{'NCT04079712'},NCT04079712
1,,mga012,FALSE,1,FALSE,FALSE,{'NCT04082364'},NCT04082364
1,,incmga00012,FALSE,1,FALSE,FALSE,{'NCT04082364'},NCT04082364
1,,triprizumab,FALSE,1,TRUE,FALSE,{'NCT04084158'},NCT04084158
1,,so001,FALSE,1,FALSE,FALSE,{'NCT04084158'},NCT04084158
,1,carbon,FALSE,1,FALSE,FALSE,{'NCT04082455'},NCT04082455
