TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids,link_to_ct_gov
,1,combination,FALSE,4,FALSE,FALSE,"{'NCT04128696', 'NCT04130542', 'NCT04128501', 'NCT04125719'}",NCT04128696
,,taxane,FALSE,2,FALSE,FALSE,"{'NCT04127019', 'NCT04137627'}",NCT04127019
,1,checkpoint inhibitors,FALSE,2,FALSE,FALSE,"{'NCT04138628', 'NCT04139317'}",NCT04138628
,1,adding,FALSE,2,FALSE,FALSE,"{'NCT04134260', 'NCT04136353'}",NCT04134260
,1,nab-p,FALSE,2,FALSE,FALSE,"{'NCT04137653', 'NCT04133155'}",NCT04137653
,1,nc,FALSE,1,FALSE,FALSE,{'NCT04137627'},NCT04137627
,1,melatonin,FALSE,1,FALSE,FALSE,{'NCT04137627'},NCT04137627
,1,cp,FALSE,1,FALSE,FALSE,{'NCT04126681'},NCT04126681
1,,hqp1351,FALSE,1,FALSE,FALSE,{'NCT04126681'},NCT04126681
,1,locoregional therapy,FALSE,1,FALSE,TRUE,{'NCT04137627'},NCT04137627
,1,turbt,FALSE,1,FALSE,FALSE,{'NCT04134000'},NCT04134000
,,allogeneic pbsc,FALSE,1,FALSE,FALSE,{'NCT04128020'},NCT04128020
,,anthracycline,FALSE,1,FALSE,FALSE,{'NCT04127019'},NCT04127019
,,ec-p,FALSE,1,FALSE,FALSE,{'NCT04127019'},NCT04127019
1,,prednison,FALSE,1,FALSE,FALSE,{'NCT04134936'},NCT04134936
1,,tafasitamab,FALSE,1,TRUE,FALSE,{'NCT04134936'},NCT04134936
1,,vincristin,FALSE,1,FALSE,FALSE,{'NCT04134936'},NCT04134936
1,"
",rbx7455,FALSE,1,FALSE,FALSE,{'NCT04139993'},NCT04139993
,1,tkis,FALSE,1,FALSE,FALSE,{'NCT04136015'},NCT04136015
1,,duloxetine,FALSE,1,FALSE,FALSE,{'NCT04137107'},NCT04137107
,1,deprivation therapy,FALSE,1,FALSE,TRUE,{'NCT04136353'},NCT04136353
"
",1,bi 891065 monotherapy,FALSE,1,FALSE,TRUE,{'NCT04138823'},NCT04138823
1,,bi 891065,FALSE,1,FALSE,FALSE,{'NCT04138823'},NCT04138823
,1,mre,FALSE,1,FALSE,FALSE,{'NCT04129710'},NCT04129710
1,,lvgn6051,FALSE,1,FALSE,FALSE,{'NCT04130542'},NCT04130542
,1,s),FALSE,1,FALSE,FALSE,{'NCT04130542'},NCT04130542
,1,mpcd,FALSE,1,FALSE,FALSE,{'NCT04131231'},NCT04131231
,1,tp,FALSE,1,FALSE,FALSE,{'NCT04137627'},NCT04137627
1,,car-37,FALSE,1,FALSE,FALSE,{'NCT04136275'},NCT04136275
,1,-37 t,FALSE,1,FALSE,FALSE,{'NCT04136275'},NCT04136275
,1,car)-37 t cells,FALSE,1,FALSE,FALSE,{'NCT04136275'},NCT04136275
,1,short,TRUE,1,FALSE,FALSE,{'NCT04139967'},NCT04139967
,1,prospective,TRUE,1,FALSE,FALSE,{'NCT04139967'},NCT04139967
,1,trigrid,FALSE,1,FALSE,FALSE,{'NCT04131413'},NCT04131413
1,,lns8801,FALSE,1,FALSE,FALSE,{'NCT04130516'},NCT04130516
,1,lns-101,FALSE,1,FALSE,FALSE,{'NCT04130516'},NCT04130516
,1,de,FALSE,1,FALSE,FALSE,{'NCT04133948'},NCT04133948
,1,car-t) therapy directed,FALSE,1,FALSE,TRUE,{'NCT04133636'},NCT04133636
1,,jnj-68284528,FALSE,1,FALSE,FALSE,{'NCT04133636'},NCT04133636
,1,radiochemotherapy,FALSE,1,FALSE,TRUE,{'NCT04137679'},NCT04137679
1,,tqb3804,FALSE,1,FALSE,FALSE,{'NCT04128085'},NCT04128085
,1,conventional therapy,FALSE,1,FALSE,TRUE,{'NCT04133194'},NCT04133194
,1,cheotherapy,FALSE,1,FALSE,TRUE,{'NCT04130750'},NCT04130750
,1,vitamin d,FALSE,1,FALSE,FALSE,{'NCT04140292'},NCT04140292
,1,actinic,FALSE,1,FALSE,FALSE,{'NCT04140292'},NCT04140292
,1,vitamin,FALSE,1,FALSE,FALSE,{'NCT04140292'},NCT04140292
,1,pdt,FALSE,1,FALSE,FALSE,{'NCT04140292'},NCT04140292
,1,photodynamic therapy,FALSE,1,FALSE,TRUE,{'NCT04140292'},NCT04140292
,1,concurrent therapies,FALSE,1,FALSE,FALSE,{'NCT04139057'},NCT04139057
,1,radiochemotherapy vs,FALSE,1,FALSE,TRUE,{'NCT04137679'},NCT04137679
,1,mpcd) therapy,FALSE,1,FALSE,TRUE,{'NCT04131231'},NCT04131231
,1,neoadjuvant chemoradiation therapy,FALSE,1,FALSE,TRUE,{'NCT04138212'},NCT04138212
,1,t therapies,FALSE,1,FALSE,FALSE,{'NCT04139057'},NCT04139057
,1,tcr-t,FALSE,1,FALSE,FALSE,{'NCT04139057'},NCT04139057
1,,v938,FALSE,1,FALSE,FALSE,{'NCT04135352'},NCT04135352
,1,bats,FALSE,1,FALSE,FALSE,{'NCT04137536'},NCT04137536
,1,inhibitor monotherapy,FALSE,1,FALSE,TRUE,{'NCT04137640'},NCT04137640
,1,neoadjuvant endocrine therapy,FALSE,1,FALSE,TRUE,{'NCT04137640'},NCT04137640
,1,aromatase inhibitor drugs,FALSE,1,FALSE,FALSE,{'NCT04137640'},NCT04137640
,1,cyclin,FALSE,1,FALSE,FALSE,{'NCT04137640'},NCT04137640
,1,sequential,TRUE,1,FALSE,FALSE,{'NCT04137640'},NCT04137640
1,,tab004 therapy,FALSE,1,FALSE,TRUE,{'NCT04137900'},NCT04137900
1,,tab004,FALSE,1,FALSE,FALSE,{'NCT04137900'},NCT04137900
,1,rbv,FALSE,1,FALSE,FALSE,{'NCT04138875'},NCT04138875
,1,electrochemotherapy,FALSE,1,FALSE,TRUE,{'NCT04139070'},NCT04139070
,1,sox,FALSE,1,FALSE,FALSE,{'NCT04139135'},NCT04139135
"
",1,hlx10 monotherapy,FALSE,1,FALSE,TRUE,{'NCT04139135'},NCT04139135
,1,neo,FALSE,1,FALSE,FALSE,{'NCT04139902'},NCT04139902
1,,dostarlimab,FALSE,1,TRUE,FALSE,{'NCT04139902'},NCT04139902
,1,-net,FALSE,1,FALSE,FALSE,{'NCT04140409'},NCT04140409
,1,target therapy,FALSE,1,FALSE,TRUE,{'NCT04131803'},NCT04131803
,1,lactobacillus,FALSE,1,FALSE,FALSE,{'NCT04131803'},NCT04131803
,1,novottf-200a,FALSE,1,FALSE,FALSE,{'NCT04129515'},NCT04129515
1,,z650,FALSE,1,FALSE,FALSE,{'NCT04131192'},NCT04131192
,1,exclusive endocrine therapy,FALSE,1,FALSE,TRUE,{'NCT04134598'},NCT04134598
,1,usual,TRUE,1,FALSE,FALSE,{'NCT04134260'},NCT04134260
,1,skin-directed therapy,FALSE,1,FALSE,TRUE,{'NCT04128072'},NCT04128072
,1,darard,FALSE,1,FALSE,FALSE,{'NCT04140162'},NCT04140162
,1,duration,FALSE,1,FALSE,FALSE,{'NCT04140162'},NCT04140162
,1,rrmm,FALSE,1,FALSE,FALSE,{'NCT04126200'},NCT04126200
,1,ulipristal,TRUE,1,FALSE,FALSE,{'NCT04132349'},NCT04132349
,1,total,FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,consecutive therapies,FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,ia-iia,FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,skin-directed,FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,multiple,TRUE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,usual hormone therapy,FALSE,1,FALSE,TRUE,{'NCT04134260'},NCT04134260
,1,mf),FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
,1,iib-ivb,FALSE,1,FALSE,FALSE,{'NCT04128072'},NCT04128072
1,,kn044,FALSE,1,FALSE,FALSE,{'NCT04126590'},NCT04126590
1,,tilsotolimod,FALSE,1,FALSE,FALSE,{'NCT04126876'},NCT04126876
,1,snb,FALSE,1,FALSE,FALSE,{'NCT04126876'},NCT04126876
,1,cell transplantation,FALSE,1,FALSE,FALSE,{'NCT04128501'},NCT04128501
,1,gem,FALSE,1,FALSE,FALSE,{'NCT04133155'},NCT04133155
,1,pd-1 monoclonal,FALSE,1,FALSE,FALSE,{'NCT04134247'},NCT04134247
,1,salvage,FALSE,1,FALSE,FALSE,{'NCT04134260'},NCT04134260
