TP,Add_to_black_list,FP,candidate,ADJ,count_nct,is_mab,is_therapy,sentence,sents,_ids,link_to_ct_gov
,1,,mfolfox,FALSE,1,FALSE,FALSE,- The secondary endpoint is to assess disease local control and the response rate after short course radiotherapy concurrent with dose escalation infusion 5-fu followed by mFOLFOX and delayed surgery,{'- The secondary endpoint is to assess disease local control and the response rate after short course radiotherapy concurrent with dose escalation infusion 5-fu followed by mFOLFOX and delayed surgery'},{'NCT04370418'},NCT04370418
,1,,fosamprenavir/,FALSE,1,FALSE,FALSE,"A 12-Week Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Assess the Efficacy of Fosamprenavir/Lexiva for Laryngopharyngeal Reflux (LPR).","{'A 12-Week Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Assess the Efficacy of Fosamprenavir/Lexiva for Laryngopharyngeal Reflux (LPR).'}",{'NCT04383262'},NCT04383262
1,,,syn125,FALSE,1,FALSE,FALSE,A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer.,"{'A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer.', 'A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer'}",{'NCT04363242'},NCT04363242
1,,,syn004,FALSE,1,FALSE,FALSE,A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer.,"{'A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer.', 'A Phase 1 Dose Escalation Trial of SYN125 Single Agent and in Combination With Fixed Dose SYN004 in Patients With Advanced Colorectal and Head and Neck Cancer'}",{'NCT04363242'},NCT04363242
1,,,srf388,FALSE,1,FALSE,FALSE,A Phase 1 Study of SRF388 in Patients With Advanced Solid Tumors.,"{'A Phase 1 Study of SRF388 in Patients With Advanced Solid Tumors.', 'This is a Phase 1, open-label, first in human, monotherapy dose-escalation, safety study of SRF388, a monoclonal antibody that targets IL-27, in patients with solid tumors'}",{'NCT04374877'},NCT04374877
1,,,com902,FALSE,1,FALSE,FALSE,A Phase 1 Study of The Safety and Tolerability of COM902 in Subjects With Advanced Malignancies.,"{'A Phase 1 Study of The Safety and Tolerability of COM902 in Subjects With Advanced Malignancies.', 'Phase 1 open label sequential dose escalation and cohort expansion study evaluating the safety, tolerability and preliminary clinical activity of COM902 as monotherapy in subjects with advanced malignancies'}",{'NCT04354246'},NCT04354246
1,,,sotorasib,FALSE,1,FALSE,FALSE,"A Phase 1, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of AMG 510 (pINN Sotorasib) in Subjects of Chinese Descent With Advanced/Metastatic Solid Tumors With KRAS p.","{'A Phase 1, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of AMG 510 (pINN Sotorasib) in Subjects of Chinese Descent With Advanced/Metastatic Solid Tumors With KRAS p.'}",{'NCT04380753'},NCT04380753
1,,,oncr-177,FALSE,1,FALSE,FALSE,"A Phase 1, Open-Label, Multicenter, Dose Escalation and Expansion Study of ONCR-177, an Oncolytic Herpes Simplex Virus for Intratumoral Injection, Alone and in Combination With PD-1 Blockade in Adult Subjects With Advanced and/or Refractory Cutaneous, Subcutaneous or Metastatic Nodal Solid Tumors.","{'A Phase 1, Open-Label, Multicenter, Dose Escalation and Expansion Study of ONCR-177, an Oncolytic Herpes Simplex Virus for Intratumoral Injection, Alone and in Combination With PD-1 Blockade in Adult Subjects With Advanced and/or Refractory Cutaneous, Subcutaneous or Metastatic Nodal Solid Tumors.', 'ONCR-177-101 is a phase 1, open-label, multi-center, dose escalation and expansion study of ONCR-177, an oncolytic Herpes Simplex Virus for intratumoral injection, alone and in combination with PD-1 blockade in adult subjects with advanced and/or refractory cutaneous, subcutaneous or metastatic nodal solid tumors.'}",{'NCT04348916'},NCT04348916
1,,,t3011,FALSE,1,FALSE,FALSE,"A Phase 1, Open-Label, Multiple-Ascending Dose Study of the Safety and Tolerability of T3011 in Advanced Cutaneous or Subcutaneous Malignancies.","{'A Phase 1, Open-Label, Multiple-Ascending Dose Study of the Safety and Tolerability of T3011 in Advanced Cutaneous or Subcutaneous Malignancies.', 'A phase 1, open-label, first-in-human study of T3011 monotherapy to evaluate the safety and tolerability of T3011 in patients with advanced cancers with cutaneous or subcutaneous tumor deposits who have progressed while receiving standard of care therapy or who will not benefit from such therapy'}",{'NCT04370587'},NCT04370587
1,,,bms-986315,FALSE,1,FALSE,FALSE,A Phase 1/2 Study of BMS-986315 as Monotherapy and in Combination With Nivolumab or Cetuximab in Participants With Advanced Solid Tumors.,"{'A Phase 1/2 Study of BMS-986315 as Monotherapy and in Combination With Nivolumab or Cetuximab in Participants With Advanced Solid Tumors.', 'Study of BMS-986315 alone and in combination with nivolumab or cetuximab in participants with advanced solid tumors'}",{'NCT04349267'},NCT04349267
,1,,18f ftc 146,FALSE,1,FALSE,FALSE,A Phase 2 Study of 18F FTC 146 PET/CT in Patients With Newly Diagnosed Osteosarcoma.,{'A Phase 2 Study of 18F FTC 146 PET/CT in Patients With Newly Diagnosed Osteosarcoma.'},{'NCT04365660'},NCT04365660
1,,,io-202,FALSE,1,FALSE,FALSE,A Phase I Study of IO-202 as Monotherapy and in Combination With Azacitidine in Relapsed/ Refractory AML With Monocytic Differentiation and in Relapsed/Refractory CMML.,"{'A Phase I Study of IO-202 as Monotherapy and in Combination With Azacitidine in Relapsed/ Refractory AML With Monocytic Differentiation and in Relapsed/Refractory CMML.', 'To assess safety and tolerability at increasing dose levels of IO-202 in successive cohorts of participants with relapsed or refractory monocytic AML and CMML in order to estimate the maximum tolerated dose (MTD) or maximum administered dose (MAD) and select the recommended Phase 2 dose (RP2D) and dose schedule as monotherapy and in combination with azacitidine (AZA)'}",{'NCT04372433'},NCT04372433
1,,,apg-115,FALSE,1,FALSE,FALSE,A Phase Ib/II Study of APG-115 Alone or in Combination With Azacitidine in Patients With Relapse/Refractory AML.,{'A Phase Ib/II Study of APG-115 Alone or in Combination With Azacitidine in Patients With Relapse/Refractory AML.'},{'NCT04358393'},NCT04358393
1,,,gemdoce,FALSE,1,FALSE,FALSE,A Phase II Trial for the Use of Intravesical Gemcitabine and Docetaxel (GEMDOCE) in the Treatment of BCG naïve Non-muscle Invasive Urothelial Carcinoma of the Bladder.,{'A Phase II Trial for the Use of Intravesical Gemcitabine and Docetaxel (GEMDOCE) in the Treatment of BCG naïve Non-muscle Invasive Urothelial Carcinoma of the Bladder.'},{'NCT04386746'},NCT04386746
1,,,ly01610（irinotecan hydrochloride,FALSE,1,FALSE,FALSE,A Phase IIa Study Evaluate the Efficacy and Safety of LY01610（Irinotecan Hydrochloride Liposome Injection） in Patients With Small Cell Lung Cancer.,{'A Phase IIa Study Evaluate the Efficacy and Safety of LY01610（Irinotecan Hydrochloride Liposome Injection） in Patients With Small Cell Lung Cancer.'},{'NCT04381910'},NCT04381910
,1,,camrelizumbab,FALSE,1,FALSE,FALSE,"A Randomized Trial of Comparison of MAPI+Camrelizumbab Verus API+Apatinib Versus MAPI in Patients With a Poor Response to Preoperative Chemotherapy for Newly Diagnosed High-grade Osteosarcomaies : an Open-label, Exploratory Study.","{'A Randomized Trial of Comparison of MAPI+Camrelizumbab Verus API+Apatinib Versus MAPI in Patients With a Poor Response to Preoperative Chemotherapy for Newly Diagnosed High-grade Osteosarcomaies : an Open-label, Exploratory Study.'}",{'NCT04351308'},NCT04351308
,1,,mapi,FALSE,1,FALSE,FALSE,"A Randomized Trial of Comparison of MAPI+Camrelizumbab Verus API+Apatinib Versus MAPI in Patients With a Poor Response to Preoperative Chemotherapy for Newly Diagnosed High-grade Osteosarcomaies : an Open-label, Exploratory Study.","{'A Randomized Trial of Comparison of MAPI+Camrelizumbab Verus API+Apatinib Versus MAPI in Patients With a Poor Response to Preoperative Chemotherapy for Newly Diagnosed High-grade Osteosarcomaies : an Open-label, Exploratory Study.'}",{'NCT04351308'},NCT04351308
,1,,lenvatnib,FALSE,1,FALSE,FALSE,"A Randomized, Open, Two-cohort Phase 2 Study of Toripalimab(PD1) Combined With Lenvatnib, or Gemox Chemotherapy Combined With Lenvatinib as First-line Therapy in Patients With Advanced or Unresectable Intrahepatic Cholangiocarcinoma.","{'A Randomized, Open, Two-cohort Phase 2 Study of Toripalimab(PD1) Combined With Lenvatnib, or Gemox Chemotherapy Combined With Lenvatinib as First-line Therapy in Patients With Advanced or Unresectable Intrahepatic Cholangiocarcinoma.'}",{'NCT04361331'},NCT04361331
1,,,hmpl-453 tartrate,FALSE,1,FALSE,FALSE,"A Single-arm, Multicenter, Open-label Phase II Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of HMPL-453 Tartrate in Patients With Advanced Intrahepatic Cholangiocarcinoma With FGFR2 Fusion.","{'A Single-arm, Multicenter, Open-label Phase II Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of HMPL-453 Tartrate in Patients With Advanced Intrahepatic Cholangiocarcinoma With FGFR2 Fusion.'}",{'NCT04353375'},NCT04353375
