TP,Add_to_black_list,FP,candidate,ADJ,count_nct,is_mab,is_therapy,sentence,sents,_ids,link_to_ct_gov
1,,,amivantamab,FALSE,1,TRUE,FALSE,"A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer.","{'A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer.', 'The purpose of this study is to assess the efficacy of the amivantamab and lazertinib combination, compared with osimertinib, in participants with epidermal growth factor receptor (EGFR) mutation (Exon 19 deletions [Exon 19del] or Exon 21 L858R substitution) positive, locally advanced or metastatic non-small cell lung cancer (NSCLC)'}",{'NCT04487080'},NCT04487080
,1,,aza,FALSE,1,FALSE,FALSE,"Azacitidine (AZA), a listed hypomethylating agent in China in 2018, is the only approved demethylating drug in the treatment of AML, following the NCCN guidelines.","{'Azacitidine (AZA), a listed hypomethylating agent in China in 2018, is the only approved demethylating drug in the treatment of AML, following the NCCN guidelines.', 'This study is aimed to validate the efficacy and safety advantages of the maintenance therapy that contain AZA and LEN in elderly or unfit for intensive therapy patients with AML based on MRD monitoring'}",{'NCT04490707'},NCT04490707
1,,,icp-192,FALSE,1,FALSE,FALSE,"A Phase 2, Multicenter, Single Arm, Open-lable Study of ICP-192 in Subjects With Surgically Unresectable or Metastatic Bladder Urothelial Cancer With FGFR Genetic Aberrations.","{'A Phase 2, Multicenter, Single Arm, Open-lable Study of ICP-192 in Subjects With Surgically Unresectable or Metastatic Bladder Urothelial Cancer With FGFR Genetic Aberrations.', 'The purpose of this study is to evaluate efficacy of ICP-192 in subjects with surgically unresectable or metastatic bladder urothelial cancer', 'This is a phase 2, multicenter, single arm, open-lable study of ICP-192.'}",{'NCT04492293'},NCT04492293
,1,,carillizumab,FALSE,1,TRUE,FALSE,"A Single-arm, Prospective Study of Carillizumab Combined With Apatinib, Etoposide and Cisplatin in First-line Treatment of Extensive Small-cell Lung Cancer.","{'A Single-arm, Prospective Study of Carillizumab Combined With Apatinib, Etoposide and Cisplatin in First-line Treatment of Extensive Small-cell Lung Cancer.'}",{'NCT04490421'},NCT04490421
1,,,apl-1202,FALSE,1,FALSE,FALSE,To evaluate the clinical efficacy (median event-free survival) of APL-1202 in combination with Epirubicin hydrochloride versus Epirubicin hydrochloride alone in intermediate and high-risk chemo-refractory non-muscle invasive bladder cancer (NMIBC) patients,"{'To evaluate the clinical efficacy (median event-free survival) of APL-1202 in combination with Epirubicin hydrochloride versus Epirubicin hydrochloride alone in intermediate and high-risk chemo-refractory non-muscle invasive bladder cancer (NMIBC) patients', 'Placebo-controlled Phase Ⅲ Clinical Trial to Evaluate the Clinical Safety and Efficacy of APL-1202 in Combination With Epirubicin Hydrochloride Versus Epirubicin Hydrochloride Alone in Intermediate and High-risk Chemo-refractory Non-muscle Invasive Bladder Cancer (NMIBC) Patients.'}",{'NCT04490993'},NCT04490993
,1,,pca,FALSE,1,FALSE,FALSE,"Several oral analgesics, intermittent intravenous and intramuscular injections and PCA with several systemic side effects, have long been used for the control of postoperative pain.","{'Several oral analgesics, intermittent intravenous and intramuscular injections and PCA with several systemic side effects, have long been used for the control of postoperative pain.'}",{'NCT04493463'},NCT04493463
1,,,ropivacaine,FALSE,1,FALSE,FALSE,"Therefore this study has been designed as a prospective, randomized, open-label, blinded endpoint (PROBE) study with a 1 month follow-up period, to compare the efficacy of methylprednisolone plus ropivacaine versus ropivacaine alone, administered before wound closure, for providing analgesia after laminoplasty and laminectomy","{'Therefore this study has been designed as a prospective, randomized, open-label, blinded endpoint (PROBE) study with a 1 month follow-up period, to compare the efficacy of methylprednisolone plus ropivacaine versus ropivacaine alone, administered before wound closure, for providing analgesia after laminoplasty and laminectomy', 'Effects of Methylprednisolone Plus Ropivacaine Infiltration Before Wound Closure on Laminoplasty or Laminectomy.'}",{'NCT04493463'},NCT04493463
1,,,levobupivacaine,FALSE,1,FALSE,FALSE,"The infiltration of levobupivacaine and bupivacaine plus methylprednisolone in single distance-single site, lumbar disc surgery established that postoperative analgesic requirement was significantly lower and the first analgesia demand time was also significantly later in the local anesthesia plus methylprednisolone group, compared to the control group.","{'The infiltration of levobupivacaine and bupivacaine plus methylprednisolone in single distance-single site, lumbar disc surgery established that postoperative analgesic requirement was significantly lower and the first analgesia demand time was also significantly later in the local anesthesia plus methylprednisolone group, compared to the control group.'}",{'NCT04493463'},NCT04493463
1,,,bupivacaine,FALSE,1,FALSE,FALSE,"Preemptive administration of bupivacaine or bupivacaine plus methylprednisolone to the paravertebral muscles in patients undergoing lumbar discectomy has been proved to provide effective analgesia in the early postoperative period, when compared to patients who received no local anesthetic or steroid.","{'Preemptive administration of bupivacaine or bupivacaine plus methylprednisolone to the paravertebral muscles in patients undergoing lumbar discectomy has been proved to provide effective analgesia in the early postoperative period, when compared to patients who received no local anesthetic or steroid.', 'The infiltration of levobupivacaine and bupivacaine plus methylprednisolone in single distance-single site, lumbar disc surgery established that postoperative analgesic requirement was significantly lower and the first analgesia demand time was also significantly later in the local anesthesia plus methylprednisolone group, compared to the control group.'}",{'NCT04493463'},NCT04493463
,1,,castration,FALSE,1,FALSE,FALSE,The Impact of DNA Repair Pathway Alterations Identified by Circulating Tumor DNA on Sensitivity to Radium-223 in Bone Metastatic Castration-Resistant Prostate Cancer.,{'The Impact of DNA Repair Pathway Alterations Identified by Circulating Tumor DNA on Sensitivity to Radium-223 in Bone Metastatic Castration-Resistant Prostate Cancer.'},{'NCT04489719'},NCT04489719
